관리코드,상품명,기준상품명,마켓카테고리,식품안전유형힌트,등급,규격,산지,포장,보관,norm_key
,미색 가정용 부사 / 10kg / 중대과 / 40-49과,미색 가정용 부사,미분류,미분류,가정용,10kg|49과,,,,미색가정용부사
,미색 가정용 부사 / 10kg / 대과 / 30-39과,미색 가정용 부사,미분류,미분류,가정용,10kg|39과,,,,미색가정용부사
,[특가] 부사 / 3kg(박스포함) / 못난이 / 혼합 / 10-20과,[특가] 부사,미분류,미분류,특,3kg|20과,,박스,,특가부사
,[특가] 부사 / 3kg(박스포함) / 가정용 / 소과 / 18-20과,[특가] 부사,미분류,미분류,특,3kg|20과,,박스,,특가부사
,[특가] 부사 / 3kg(박스포함) / 가정용 / 중과 / 15-17과,[특가] 부사,미분류,미분류,특,3kg|17과,,박스,,특가부사
,[특가] 부사 / 3kg(박스포함) / 가정용 / 대과 / 10-14과,[특가] 부사,미분류,미분류,특,3kg|14과,,박스,,특가부사
,[특가] 부사 / 4kg(박스포함) / 못난이 / 혼합 / 12-28과,[특가] 부사,미분류,미분류,특,4kg|28과,,박스,,특가부사
,[특가] 부사 / 4kg(박스포함) / 가정용 / 소과 / 24-28과,[특가] 부사,미분류,미분류,특,4kg|28과,,박스,,특가부사
,[특가] 부사 / 4kg(박스포함) / 가정용 / 중과 / 20-23과,[특가] 부사,미분류,미분류,특,4kg|23과,,박스,,특가부사
,[특가] 부사 / 4kg(박스포함) / 가정용 / 대과 / 12-19과,[특가] 부사,미분류,미분류,특,4kg|19과,,박스,,특가부사
,[특가] 부사 / 5kg(박스포함) / 못난이 / 혼합 / 15-35과,[특가] 부사,미분류,미분류,특,5kg|35과,,박스,,특가부사
,[특가] 부사 / 5kg(박스포함) / 가정용 / 소과 / 31-35과,[특가] 부사,미분류,미분류,특,5kg|35과,,박스,,특가부사
,[특가] 부사 / 5kg(박스포함) / 가정용 / 중과 / 26-30과,[특가] 부사,미분류,미분류,특,5kg|30과,,박스,,특가부사
,미국산 레몬 / 10입,미국산 레몬,미분류,미분류,,10입,미국산,,,미국산레몬
,미국산 레몬 / 20입,미국산 레몬,미분류,미분류,,20입,미국산,,,미국산레몬
,미국산 레몬 / 30입,미국산 레몬,미분류,미분류,,30입,미국산,,,미국산레몬
,미국산 레몬 / 40입,미국산 레몬,미분류,미분류,,40입,미국산,,,미국산레몬
,미국산 레몬 / 50입,미국산 레몬,미분류,미분류,,50입,미국산,,,미국산레몬
,미국산 레몬 / 60입,미국산 레몬,미분류,미분류,,60입,미국산,,,미국산레몬
,미국산 레몬 / 70입,미국산 레몬,미분류,미분류,,70입,미국산,,,미국산레몬
,미국산 레몬 / 80입,미국산 레몬,미분류,미분류,,80입,미국산,,,미국산레몬
,미국산 레몬 / 90입,미국산 레몬,미분류,미분류,,90입,미국산,,,미국산레몬
,미국산 레몬 / 100입,미국산 레몬,미분류,미분류,,100입,미국산,,,미국산레몬
,미국산 레몬 / 165입,미국산 레몬,미분류,미분류,,165입,미국산,,,미국산레몬
,흙당근 / 쥬스용 / 5kg(박스포함) / 왕특,흙당근,채소,과채가공품,특,5kg,,박스,,흙당근
,흙당근 / 쥬스용 / 10kg(박스포함) / 왕특,흙당근,채소,과채가공품,특,10kg,,박스,,흙당근
,[특가] 부사 / 5kg(박스포함) / 가정용 / 중대과 / 21-25과,[특가] 부사,미분류,미분류,특,5kg|25과,,박스,,특가부사
,[특가] 부사 / 5kg(박스포함) / 가정용 / 대과 / 17-20과,[특가] 부사,미분류,미분류,특,5kg|20과,,박스,,특가부사
,[특가] 부사 / 5kg(박스포함) / 가정용 / 특대과 / 15-16과,[특가] 부사,미분류,미분류,특,5kg|16과,,박스,,특가부사
,특가 시나노골드 / 가정용 / 3kg(박스포함) / 18-20과,특가 시나노골드,미분류,미분류,특,3kg|20과,,박스,,특가시나노골드
,특가 시나노골드 / 가정용 / 3kg(박스포함) / 15-17과,특가 시나노골드,미분류,미분류,특,3kg|17과,,박스,,특가시나노골드
,특가 시나노골드 / 가정용 / 3kg(박스포함) / 10-14과,특가 시나노골드,미분류,미분류,특,3kg|14과,,박스,,특가시나노골드
,가정용 시나노골드 / 1kg / 소과 / 6-7과,가정용 시나노골드,미분류,미분류,가정용,1kg|7과,,,,가정용시나노골드
,가정용 시나노골드 / 2kg / 소과 / 12-14과,가정용 시나노골드,미분류,미분류,가정용,2kg|14과,,,,가정용시나노골드
,가정용 시나노골드 / 2kg / 중과 / 9-11과,가정용 시나노골드,미분류,미분류,가정용,2kg|11과,,,,가정용시나노골드
,가정용 시나노골드 / 3kg / 소과 / 18-21과,가정용 시나노골드,미분류,미분류,가정용,3kg|21과,,,,가정용시나노골드
,가정용 시나노골드 / 3kg / 중과 / 13-17과,가정용 시나노골드,미분류,미분류,가정용,3kg|17과,,,,가정용시나노골드
,가정용 시나노골드 / 5kg / 소과 / 30-35과,가정용 시나노골드,미분류,미분류,가정용,5kg|35과,,,,가정용시나노골드
,가정용 시나노골드 / 5kg / 중과 / 25-29과,가정용 시나노골드,미분류,미분류,가정용,5kg|29과,,,,가정용시나노골드
,흙당근 / 5kg / 왕 / 350-500g,흙당근,채소,채소류,,5kg|500g,,,,흙당근
,흙당근 / 5kg / 특 / 300g 내외,흙당근,채소,채소류,특,5kg|300g,,,,흙당근
,흙당근 / 5kg / 상 / 200g 내외,흙당근,채소,채소류,상,5kg|200g,,,,흙당근
,흙당근 / 10kg / 왕 / 350-500g,흙당근,채소,채소류,,10kg|500g,,,,흙당근
,흙당근 / 10kg / 특 / 300g 내외,흙당근,채소,채소류,특,10kg|300g,,,,흙당근
,흙당근 / 10kg / 상 / 200g 내외,흙당근,채소,채소류,상,10kg|200g,,,,흙당근
,호풍미 고구마 / 2kg / 한입 / 50g 미만,호풍미 고구마,채소,채소류,,2kg|50g,,,,호풍미고구마
,호풍미 고구마 / 2kg / 중 / 50-100g,호풍미 고구마,채소,채소류,중,2kg|100g,,,,호풍미고구마
,호풍미 고구마 / 2kg / 특상 / 100-300g,호풍미 고구마,채소,채소류,특상,2kg|300g,,,,호풍미고구마
,호풍미 고구마 / 2kg / 왕(대) / 300g 이상,호풍미 고구마,채소,채소류,상,2kg|300g,,,,호풍미고구마
,호풍미 고구마 / 3kg / 한입 / 50g 미만,호풍미 고구마,채소,채소류,,3kg|50g,,,,호풍미고구마
,호풍미 고구마 / 3kg / 중 / 50-100g,호풍미 고구마,채소,채소류,중,3kg|100g,,,,호풍미고구마
,호풍미 고구마 / 3kg / 특상 / 100-300g,호풍미 고구마,채소,채소류,특상,3kg|300g,,,,호풍미고구마
,호풍미 고구마 / 3kg / 왕(대) / 300g 이상,호풍미 고구마,채소,채소류,상,3kg|300g,,,,호풍미고구마
,호풍미 고구마 / 5kg / 한입 / 50g 미만,호풍미 고구마,채소,채소류,,5kg|50g,,,,호풍미고구마
,호풍미 고구마 / 5kg / 중 / 50-100g,호풍미 고구마,채소,채소류,중,5kg|100g,,,,호풍미고구마
,호풍미 고구마 / 5kg / 특상 / 100-300g,호풍미 고구마,채소,채소류,특상,5kg|300g,,,,호풍미고구마
,호풍미 고구마 / 5kg / 왕(대) / 300g 이상,호풍미 고구마,채소,채소류,상,5kg|300g,,,,호풍미고구마
,호풍미 고구마 / 10kg / 한입 / 50g 미만,호풍미 고구마,채소,채소류,,10kg|50g,,,,호풍미고구마
,호풍미 고구마 / 10kg / 중 / 50-100g,호풍미 고구마,채소,채소류,중,10kg|100g,,,,호풍미고구마
,호풍미 고구마 / 10kg / 특상 / 100-300g,호풍미 고구마,채소,채소류,특상,10kg|300g,,,,호풍미고구마
,호풍미 고구마 / 10kg / 왕(대) / 300g 이상,호풍미 고구마,채소,채소류,상,10kg|300g,,,,호풍미고구마
,"국내산 건멸치 / (볶음, 조림용) 주바멸치 / 500g",국내산 건멸치,수산물/건어물,미분류,,500g,국내산,,,국내산건멸치
,"국내산 건멸치 / (볶음, 조림용) 주바멸치 / 500g / 2봉",국내산 건멸치,수산물/건어물,미분류,,500g|2봉,국내산,봉,,국내산건멸치
,"국내산 건멸치 / (볶음, 조림용) 주바멸치 / 1.5kg",국내산 건멸치,수산물/건어물,미분류,,1.5kg,국내산,,,국내산건멸치
,국내산 건멸치 / (조림용) 고바멸치 / 500g,국내산 건멸치,수산물/건어물,미분류,,500g,국내산,,,국내산건멸치
,국내산 건멸치 / (조림용) 고바멸치 / 500g / 2봉,국내산 건멸치,수산물/건어물,미분류,,500g|2봉,국내산,봉,,국내산건멸치
,국내산 건멸치 / (조림용) 고바멸치 / 1.5kg,국내산 건멸치,수산물/건어물,미분류,,1.5kg,국내산,,,국내산건멸치
,국내산 건멸치 / (국물용) 다시멸치 / 500g,국내산 건멸치,수산물/건어물,미분류,,500g,국내산,,,국내산건멸치
,국내산 건멸치 / (국물용) 다시멸치 / 500g / 2봉,국내산 건멸치,수산물/건어물,미분류,,500g|2봉,국내산,봉,,국내산건멸치
,국내산 건멸치 / (국물용) 다시멸치 / 1.5kg,국내산 건멸치,수산물/건어물,미분류,,1.5kg,국내산,,,국내산건멸치
,완도 건다시마 / 건다시마 / 500g,완도 건다시마,미분류,미분류,,500g,,,,완도건다시마
,완도 건다시마 / 건다시마 / 1kg,완도 건다시마,미분류,미분류,,1kg,,,,완도건다시마
,흙당근 / 3kg / 왕 / 350-500g,흙당근,채소,채소류,,3kg|500g,,,,흙당근
,흙당근 / 3kg / 특 / 300g 내외,흙당근,채소,채소류,특,3kg|300g,,,,흙당근
,흙당근 / 3kg / 상 / 200g 내외,흙당근,채소,채소류,상,3kg|200g,,,,흙당근
,흙당근 / (박스포함) 5kg / 왕 / 350-500g,흙당근,채소,채소류,,5kg|500g,,박스,,흙당근
,흙당근 / (박스포함) 5kg / 특 / 300g 내외,흙당근,채소,채소류,특,5kg|300g,,박스,,흙당근
,흙당근 / (박스포함) 5kg / 상 / 200g 내외,흙당근,채소,채소류,상,5kg|200g,,박스,,흙당근
,흙당근 / (박스포함) 10kg / 왕 / 350-500g,흙당근,채소,채소류,,10kg|500g,,박스,,흙당근
,흙당근 / (박스포함) 10kg / 특 / 300g 내외,흙당근,채소,채소류,특,10kg|300g,,박스,,흙당근
,흙당근 / (박스포함) 10kg / 상 / 200g 내외,흙당근,채소,채소류,상,10kg|200g,,박스,,흙당근
,쥬스용 사과 / 3kg / 혼합과,쥬스용 사과,과일,과채가공품,,3kg,,,,쥬스용사과
